Task,Notes,Owner
Create PLOS Journals account and obtain an API key,,
Download NASA patent data,,
Identify and acquire USPTO dataset,,
Identify and acquire PatentsView alternativedataset,Uses an API?,
"Install package, rplos.",Retrieval of PLOS journal data.,
"Install alternative package, fulltext.",Useful for retrieval of journal data?,
Load NASA patent data.,,
Create vector of NASA patent cases.,,
Retrieve data for NASA patent cases from USPTO and PatentsView.,,
Specify text mining for patent data.,,
Develop text mining for patent data.,,
Specify search criteria for journal data.,Based on text mining features.,
Choose software for drawing diagrams.,,
Diagram the data science workflow.,OSEMN or Wickam Grammar. What is the Wickam Grammar? I only found graphics documentation.,
Specify functional NLP requirements. What methods.,"TF-IDF; Word sense disambiguation, Natural text generation, etc.",
"Specify technical NLP requirements. Packages, functions, interfaces.",,
"Explore and compare other journal data sources: CORE, Semantic Scholar, etc.",,
Visualize text mining results.,,
